Context,Keyword,Page_Number
"Table of Contents

SECTION I: Basic Policy Statement ......................................................................................................................................................... 3
SECTION II: Line of Authority ..................................................................................................................................................................... 4
   Board of Directors ................................................................................................................................................................................... 4
   Executive Committee .............................................................................................................................................................................. 4
   Treasurer and The Finance Committee ................................................................................................................................................... 4
   President and Board Secretary ................................................................................................................................................................. 4
   CFO .......................................................................................................................................................................................................... 4
   Vice Presidents, Divisions and Program Directors .................................................................................................................................. 4
SECTION III: Indemnity Policy ................................................................................................................................................................... 5
SECTION IV: Investment Policy .................................................................................................................................................................. 5
   General Investment Guidelines ............................................................................................................................................................... 5
   Reserve Policy ......................................................................................................................................................................................... 5
SECTION V: Policy for Services Provided by Members .............................................................................................................................. 5
SECTION VI: Involvement with Community Events .................................................................................................................................. 6
   Priorities ................................................................................................................................................................................................. 6
   Financial Support .................................................................................................................................................................................... 6
   Staff Support .......................................................................................................................................................................................... 6
   Chamber Sponsorships ........................................................................................................................................................................... 6
SECTION VII: Criteria for Endorsements and Affinity Programs ................................................................................................................. 7
   Chamber's Vision and Mission ............................................................................................................................................................... 7
   Eligibility ................................................................................................................................................................................................. 7
   Revenue Stream ..................................................................................................................................................................................... 7
   Local Competition .................................................................................................................................................................................. 7
   Marketing and Customer Service ........................................................................................................................................................... 7
   Product Timeline .................................................................................................................................................................................... 8
FINANCIAL CONTROLS AND OPERATING PROCEDURES ............................................................................................................................... 9
   SECTION VIII: Financial Controls ........................................................................................................................................................... 9
   Operating Procedures .............................................................................................................................................................................. 9
   Separation of Duties ................................................................................................................................................................................. 9
   Financial Reporting .................................................................................................................................................................................. 9
   Safeguarding Assets ............................................................................................................................................................................... 10
   Fixed Assets ........................................................................................................................................................................................... 10
   Payroll Controls ..................................................................................................................................................................................... 11
   Accounting System Controls .................................................................................................................................................................. 11
   Disbursements ....................................................................................................................................................................................... 11
   Receipts ................................................................................................................................................................................................. 12
   Credit Card Receipts .............................................................................................................................................................................. 12
SECTION IX: Accounting Procedures ....................................................................................................................................................... 13
   Billings and Receivables ......................................................................................................................................................................... 13
   New Members ....................................................................................................................................................................................... 13
   Renewals ............................................................................................................................................................................................... 13
   Past Due Accounts ................................................................................................................................................................................ 13
   Cancellations ......................................................................................................................................................................................... 14
   Database Changes ................................................................................................................................................................................ 14
   Programs/Events ................................................................................................................................................................................... 14
   Sponsorships ......................................................................................................................................................................................... 14
   Cash Receipts ........................................................................................................................................................................................ 14
   Credit Card Receipts .............................................................................................................................................................................. 15
   Payroll ................................................................................................................................................................................................... 15
   Bank Reconciliations ............................................................................................................................................................................. 17
   Accounts Payable .................................................................................................................................................................................. 17
   Disbursements ....................................................................................................................................................................................... 17
      Vendor Invoices ............................................................................................................................................................................... 17
      Staff Expense Reimbursements ....................................................................................................................................................... 17
      Operating Expenses ......................................................................................................................................................................... 18
      Startup Funds .................................................................................................................................................................................. 18
      Credit Cards ...................................................................................................................................................................................... 18
      Petty Cash Disbursements ............................................................................................................................................................... 19
   Authorized Purchasers .......................................................................................................................................................................... 19",Financial Policies,2
"SECTION I: Basic Policy Statement

The Lubbock Chamber of Commerce (LCC) is committed to responsible financial management. The entire organization including the Board of Directors, Administrators, and Staff will work together to make certain that all financial matters of the organization are addressed with care, integrity, and in the best interest of LCC.

The policy and procedural guidelines contained in this handbook are designed to:

1. Protect the assets of LCC;
2. Ensure the maintenance of accurate records of LCC’s financial activities;
3. Provide a framework of operating standards and behavioral expectations; and,
4. Ensure compliance with federal, state, and local legal and reporting requirements.

In accordance with LCC Bylaws, the president has the responsibility for administering these policies and ensuring compliance with procedures that have been approved by the Board of Directors. Exceptions to written policies may only be made with the prior approval of the Finance Committee. Changes or amendments to these policies may be approved by the Board of Directors at any time. A complete review of the policies shall be conducted annually.

Every Director and every Administrator with financial related responsibility is expected to be familiar with and operate within the parameters of these policies and guidelines.

2009 Adopted by the Lubbock Chamber of Commerce Board of Directors
2011 Updates made after the 2011 audits. Next Board review date will be in 2014.
2013 Reviewed / Updated by staff.
2014 Board Review.
2014 Board Review.
2019 Reviewed / Undated by Staff",Financial Policies,3
,Financial Policies,4
,SECTION II: Line of Authority,4
"The Board of Directors has the authority to execute any policies it deems to be in the best interest of the organization within the parameters of the organization’s articles of incorporation, bylaws, or federal, state, and local law. The Board of Directors, in compliance with Chamber bylaws, shall schedule an annual audit of the financial statements of LCC by an independent certified public accountant.",Board of Directors,4
The Executive Committee has responsibility for business in the interim between meetings of the Board of Directors. It shall supervise and attend to fiscal matters of LCC and may refer matters to a proper committee or to the Board of Directors.,Executive Committee,4
"The Treasurer has the authority to perform regular reviews of the organization’s financial activity; oversee the development of the annual budget; and oversee the allocation of investment deposits. The Executive Committee acts as the Finance Committee, unless otherwise directed by the Board of Directors.",Treasurer and The Finance Committee,4
The President has the authority to make spending decisions within the parameters of the approved budget; employ and terminate personnel; determine salary and bonus levels; create and amend operating procedures and controls; make decisions regarding the duties and accountabilities of personnel and the delegation of decision-making authority; enter into contractual agreements within board designated parameters.,President and Board Secretary,4
The CFO has whatever authority as may be designated by the President such as the authority to design the organization’s accounting system; make spending decisions within the parameters of the approved budget; make fixed asset purchase decisions within a certain dollar amount; make decisions regarding the allocation of expenses.,CFO,4
"Vice Presidents, Divisions and Program Directors have whatever authority as may be designated by the President, such as, the authority to make spending decisions within the parameters of the approved department or program budget.","Vice Presidents, Divisions and Program Directors",4
