Context,Keyword,Page_Number
"FINANCIAL POLICIES
Lake County Government

I. FINANCIAL PLANNING POLICIES ......................................................................................... 1
II. BUDGET POLICIES .............................................................................................................. 3
III. ACCOUNTING, AUDITING & FINANCIAL REPORTING POLICIES .................................... 8
IV. REVENUE POLICIES .......................................................................................................... 11
V. OPERATING POLICIES ....................................................................................................... 12
VI. CAPITAL PLANNING & BUDGET POLICIES ..................................................................... 15",General,1
"Introduction
A long-range plan (LRP) that estimates revenue and expenditure activity in the County, as impacted by regional and national economies, is necessary to support the Commissioners and Community in the decisions they make regarding County services. This planning must recognize the effects of economic cycles on the demand for services and the County’s Revenues. Financial planning should be designed to ensure the delivery of needed services as defined by policy and the Comprehensive Plan.

Policies
The financial planning and subsequent budgeting for all funds will be based on the following policies:

1. Three-Year Plans – The County will prepare annually a three (3) year financial LRP for each fund. Each plan will include revenues, expenditures and other sources and uses with sufficient detail to identify trends and items with major impact.

2. Conservative Revenue Estimates – Revenue estimates should be prepared on a conservative basis to minimize the possibility that economic fluctuations could imperil ongoing service programs during the budget year.

3. Include Contingencies – Expenditure estimates should anticipate contingencies that are foreseeable.

4. Include Asset Management Plan on LRP – The five-year Asset Management Plan (AMP) will include equipment, major maintenance, and associated expenses of less than $100,000. Major renovation or maintenance projects will be identified in the LRP.",I. FINANCIAL PLANNING POLICIES,1
"5. Use Proven Methods – The County will constantly test both its planning methodology and use of planning tools to provide information that is timely, accurate and widely disseminated to Citizens and Staff.

6. Complex Regional Economic System – The County recognizes it is in a complex, regional economic system. The County should have the capacity to evaluate and anticipate changes in both regional and national economic systems, to engage in strategic financial and management planning. The purpose of these plans will be to allow the Commissioners and Citizens to evaluate the impact of the financial needs of these programs on the regional economy and to coordinate funding needs with all funds.

7. Department Responsibilities – Department Directors and the Finance Department will share responsibility for the preparation of financial plans for operations and asset management needs. The County Manager will review and approve detailed work sheets used to generate the LRP. The Finance Department will assist in developing appropriate systems to monitor and update the LRP.

8. Regular Status Reports – The Staff will continually update the LRP when significant changes are anticipated. The Staff may distribute the LRP to the Commissioners at any time to inform the Commissioners. The LRP will be submitted to the Commissioners for approval at least twice a year. The first update will follow the closing of the year and will include a final comparison of actual to budget for the completed year. The second report will be presented before the presentation of the annual budget and will include an update of the current budget and estimates.

9. Rate Structures - The plans must disclose revenue assumptions including rate structures and consumption. The LRP will include annual rate increases based on inflation unless the Commissioners overrides this direction.

10. Staffing – The plans will identify staffing levels including justification for any changes.

11. Expenditures – The plans will include expenditures based on the service levels/policies and workload indicators (population, strategy, etc.) approved by the Commissioners.

12. Include Reserves – The plan will include reserves for operations, capital and debt service coverage as established in Financial Policies and/or as required to issue bonds.",General,2
"Introduction
The Staff is responsible for preparing, managing and reporting on the County’s annual budget. This function follows the direction of the Commissioners.

A. Budget Policies
The annual budget will be administered based on the following policies:

1. Fiscal Year – The fiscal year (FY) of the County is the calendar year, January 1st – December 31st. The purpose of the LRP is to provide the Commissioners with a continuous budget update.

2. Present a Balanced Budget to Commissioners – The County will pay for all current expenditures with current revenues. The County will avoid budgetary procedures that balance current expenditures at the expense of the meeting future years’ expenses, such as postponing maintenance and other expenditures, accruing future years’ revenues, or rolling over short term debt. The exceptions to this policy would be planned equipment purchases, operation maintenance and capital projects based on accumulated funding over the years.

3. Increase Efficiency in All County Operations – The County Staff will identify programs to increase efficiency to provide long–term cost savings to the County. This may include the use of technology, revised organizational structures or other tools which may be identified. Eliminating outdated practices is encouraged.

4. Promote Investment in Our Future – The County Staff, whenever possible, will take a long-term view of investments (people and resources) and emphasize quality operations which encourage productivity for today and the future.

5. Share Resources & Services – The County Staff will explore ways to share staff, training, resources and equipment/supplies to utilize resources more effectively.

6. Identify Funding for New Service Levels – Proposals to add new services or increase existing services will be presented with revenue alternatives to fund or subsidize the new service levels. This includes initial costs and ongoing operations.

7. Asset Management Plan – The budget will provide adequate maintenance of capital plant and equipment and for their orderly replacement.

8. Employee Programs – The County recognizes employees are the most valuable asset of the organization and commits to fund this resource appropriately including adequate funding for all retirement systems, benefit packages and employee incentive programs including training.",II. BUDGET POLICIES,3
"The budget will include transfers or overhead allocations for expenditures/services in the General Fund that benefit other County funds. The formula for calculating this transfer or overhead allocation may include revenues, staff and or supplies and services. The formula shall be reviewed annually.",Overhead Allocations,4
"Cash reserve policies directly relate to fund accounting. Fund account is used as a control device to segregate financial resources and ensure that the segregated resources are used for their intended purposes. Cash reserves provide stability for operations and can cushion the impact to County programs during times of economic downturns. Reserve targets are established based on the type of Fund.

- Operating funds will accumulate and maintain three months of operating reserves based on estimated personnel, supplies and services and AMP expenditures. Operating reserves allow for the efficient management of cash flow and the opportunity to expand services or fund one-time opportunities during the year.

Reserves for capital funds, including impact fee funds, are established based on the budgeting methodology. Capital fund budgets are based on the estimated current year ending cash balance for the next year. Subsequently the reserves are funded by the revenues restricted to capital funds:

- Capital projects may include a contingency for unexpected expenditures.
- Debt service fund reserves are based on required debt reserves established when debt is issued.
- The County will establish and budget a contingency reserve in the General Fund to provide for unanticipated expenditures of a non-recurring nature, or to meet unexpected small increases in service delivery costs.
- The priority of the County will be to maintain target reserves by individual funds based on the above target. The Commissioners may identify specific reserves on an individual basis. When a cash reserve deficit exists, the Commissioners will identify the specific fund to offset the deficit and a plan to increase the reserve in the fund.",Fund Reserves,4
"The Financial Plan (budget) and the Comprehensive Plan are considered the two key tools to provide a vision of the future and a method of accomplishing those goals. Based on the value of these two documents, the County will develop a methodology to cross reference both tools, to accomplish the goals of the Community, as expressed through the Commissioners.",Comprehensive Plan,4
"Each Year the Staff will prepare the annual budget following these policies:

1. Commissioners’ Direction as Goals – During the preparation of the annual budget, the Commissioners are scheduled to meet with each Department to approve strategic policy, identify goals and performance measures. It is the responsibility of the Staff to prepare an annual budget to implement policy and accomplish the goals identified. Staff will identify the impact on the budget, including alternatives when new service levels are approved by the Commissioners.

2. Budget Schedule – The Staff will present the Financial Policies in June, Revenues in July, Operations in August and Capital in September. The goal is approval of the Budget Resolution and Revenue Rate Resolution at the first Regular Commissioners meeting in October, meeting the requirements of Statute.

3. Revenue Policies – The annual budget process is based on the initial revenue projections. Revenue projections will include rate review, annual inflation increases and frequency estimates. Frequency estimates start with a minimum of 75% of the projected trends based on the past year and year to date projections.

4. Expenditure Policies – Expenditure budget preparations begin with existing staff, including appropriate adjustments for the cost of living and increased cost benefits. Salary ranges and benefit packages should be periodically reviewed with comparable communities based on population, general fund tax revenues and cost of living.

Supplies and services should be constantly reviewed for efficiency and effectiveness, eliminating outdated programs and identifying appropriate citizen service levels. The operating budget should include the AMP to provide the most effective delivery of services.

Debt is funded per required schedules, including reserves.

Capital is budgeted based on priorities, available funding and estimated fund balances of impact fees.

5. County Manager Review – The County Manager will review the details of each proposed budget for efficiency and compliance with Commissioners’ direction. Department Directors may include supplemental budget requests in the annual budget request to the County Manager and ultimately the Commissioners.",B. Budget Preparation,5
"6. Budget Presentation – The annual budget document will be prepared based on guidelines identified by the Government Finance Officers Association (GFOA). Traditionally, this begins with an introduction to the budget followed by more detailed information presented by the fund and department. The budget introduction includes a budget message and a highlights section identifying the major issues addressed by the County and how the budget is adopted to address those issues. Expenditures shall be presented by department and categories.

7. Citizen Participation – The budget process will provide for the full participation of the public and ensure opportunities for public hearings and citizen participation.

8. Public Hearings – Open public hearings at regularly scheduled Commissioners meetings and Work Sessions as required by statute.

9. State and Other Requirements – The County will adopt the budget in accordance to State and other requirements and certify the mill levy.

10. Non-Profit Contributions – Groups requesting grants from the County shall provide their organizations’ financial information, annual report and a copy of their approved 501(c) 3 status in addition to all other information requested.",General,6
"Commissioners’ approval of the annual budget is based on established revenue and expenditure limits. Authority for Departments to work within the limits approved by the Commissioners is essential for efficient management of the County. Departments will not exceed the approved budget without the prior approval of the Commissioners. The budget will be managed based on the following policies:

1. Purchasing and Accounting System – The County will maintain a system for monitoring the budget during the fiscal year. Adequate tools must be available to assist staff in managing the budget. The budget system will provide for budget approval before any expenditure is committed by Staff. This system shall also provide reports and inquiry systems which will be used by the Staff to prepare Commissioners’ reports.

2. Commissioners’ Reports – Staff will prepare monthly reports for Commissioners’ review. Additional reports will be presented in coordination with the annual budget process and financial audit. The Commissioners report will include information on revenues and expenditures, comparing actual to budget, and performance measures related to service levels.

3. Level of Approval – The Commissioners may approve specific grants for qualified non-profit organizations. In relation to department budgets, the Commissioners will approve:",C. Budget Management,6
