Context,Keyword,Page_Number
"NONPROFIT ORGANIZATION

Financial Policies and Procedures
Manual

Provided by:
Financial Technologies & Management

Copyright © 2019",General,1
"Introduction, Manual Protocol, and Accounting Guidelines and Internal Controls 3
Annual Audit 4
Annual Budget, Financial Statements 5
Insurance Coverage, Security 6
Record Retention 7
Cash Receipts and Revenue Processing 8
Cash Disbursements and Accounts Payable Processing 9
Travel Expense Reimbursement 11
Payroll and Human Resources 12
Net Asset Classifications 16
Notes Payable 17
Board Conflict of Interest Policy 18
Whistleblower Policy 20
Code of Conduct 21",Table of Contents,2
"Note to Users: The sample policies and procedures included herein should only be used as a guide in developing policies and procedures applicable to your particular organization. Users should carefully read the accompanying instructions and eliminate, add to, or modify these policies and procedures as necessary to customize them for your organization. These sample policies and procedures are copyrighted materials of Financial Technologies & Management. Purchasers are authorized to use these materials only for one particular not-for-profit organization. Additional uses for multiple organizations or any other copying, reselling or redistribution of these policies and procedures are expressly prohibited.

Copyright © 2019",General,2
"The purpose of this manual is to set policies & procedures that are consistent with the mission of the Nonprofit Organization. Also, the purpose of this manual is to set sound financial guidelines that promote prudent fiscal management; and to abide by Generally Accepted Accounting Principles (GAAP) and the legal requirement governing Nonprofit Organization.",Introduction,3
"1) Nonprofit Organization management will review the financial practices annually. Any recommended revisions will be presented to the Finance Committee of the Board of Directors.

2) The Finance Committee will review and recommend financial policies and procedures changes to the Board of Directors which will review and approve all changes to financial policies and procedures.",Manual Protocol,3
"To ensure that record keeping is in accordance with Generally Accepted Accounting Principles (GAAP) and appropriate internal controls are maintained. The following procedures need to be followed:

1) Standard accounting procedures, in accordance with GAAP, will be utilized for all financial functions.

2) Accounting will be done on the accrual basis.

3) The Chart of Accounts will be utilized, reviewed annually and updated as required.

4) Periodic, unannounced, internal audits will be performed by the Executive Director or the Finance Committee of the Board to ensure that the stated operating guidelines have been followed.

5) To ensure optimal internal controls, Nonprofit Organization will separate functional responsibilities as recommended by GAAP, to the extent possible based on staffing resources.

6) The administrative assistant will maintain financial records in accordance with the record retention policy or as determined by Federal, State or local law.",Accounting Guidelines and Internal Controls,3
"7) All Accounts Payable records will be stored by fiscal year and alphabetized by vendor.

8) All Accounts Receivable and Payroll records will be stored by fiscal year.",General,4
"It is the policy of Nonprofit Organization to arrange for an annual audit of the Organization's financial statements to be conducted by an independent accounting firm. The independent accounting firm selected by Nonprofit Organization will be required to communicate directly with the Organization's Finance Committee upon the completion of their audit. In addition, members of the Finance Committee are authorized to initiate communication directly with the independent accounting firm.

Audited financial statements, including the auditor's opinion thereon, will be submitted and presented to the Board of Directors by the independent accounting firm at the Organization’s Annual Meeting, after the financial statements have been reviewed and approved by the Audit Committee.

Annual audits should be done annually to ensure the accuracy in accounting functions and to facilitate positive audit results.

1) The designee appointed by the Executive Director or the Finance Committee would conduct the internal audits of accounts receivable, payroll, and accounts payables semi-annually.

2) The designee conducting the audit will prepare an audit report and submit the report to the Executive Director and/or the Finance Committee for review.

3) The Executive Director will retain the records regarding the results of all internal audits and report inconsistencies or problems to Finance Committee as appropriate.

Interim Procedures - To facilitate the timely completion of the annual audit, the independent auditors may perform selected audit procedures prior to the Organization’s year-end. By performing significant portions of audit work as of an interim date, the work required subsequent to year-end is reduced. Organization staff will as much as possible in order to provide requested schedules and documents and to otherwise assist the auditors during any interim audit fieldwork that is performed.

Throughout the audit process, it shall be the policy of Nonprofit Organization to make every effort to provide schedules, documents and information requested by the auditors in a timely manner.",Annual Audit,4
"The annual budget process requires planning and preparation of management and staff. A budget should be designed and prepared to direct the most efficient and prudent use of the organization's financial and human resources. Guidelines need to be in place so that the budgeting process runs smoothly. The following guidelines represent basic budgeting steps:

1) The Administrative Assistant, with the support of the Executive Director, will present an annual budget to the Finance Committee one month before the end of the current fiscal year. Once approved by the Finance Committee and Executive Committee, the budget will be presented to Board of Directors for review and approval. The Budget must be presented to the Board of Directors during its July meeting.

2) The budget will be developed based on historical as well as projected costs for each program. Everyone will provide input into the budget development.

3) In the event that Nonprofit Organization desires to add or expand programs, a budget amendment may be proposed. The Finance Committee will recommend to the Board of Directors which must approve all additional programs or program expansions.

4) The purpose of adopting a final budget at the beginning of the Organization’s year is to allow time for the accounting department to input the budget into the accounting system and establish appropriate accounting and reporting procedures.",Annual Budget,5
"Standard Financial Statements

Preparing financial statements and communicating key financial information is a necessary and critical accounting function. Financial statements are management tools used in making decisions, in monitoring the achievement of financial objectives, and as a standard method for providing information to interested parties external to the organization. Financial statements may reflect year-to-year historical comparisons or current year budget to actual comparisons.

The basic financial statements of Nonprofit Organization shall include:

1. **Statement of Financial Position (Balance Sheet)** - reflects assets, liabilities and net assets of the organization and classifies assets and liabilities as current or non-current/long-term
2. **Statement of Activities (Income Statement)** - presents support, revenues, expenses, and other changes in net assets of the organization, by category of net asset (unrestricted, temporarily restricted and permanently restricted)",Financial Statements,5
"3. Statement of Cash Flows (Development Sheet) - reports the cash inflows and outflows of the organization in three categories: operating activities, investing activities, and financing activities
4. Statement of Functional Expenses (Summarized by Program Totals) – presents the expenses of the organization in both a natural, or objective, format and by function (i.e. which program or supporting service was served)",General,6
"The objective of the administrative assistant is to prepare accurate financial statements in accordance with generally accepted accounting principles and distribute them in a timely and cost-effective manner. In meeting this responsibility, the following policies shall apply:

A standard set of financial statements described in the preceding section shall be produced on monthly basis, by the 10th of each month. The monthly set of financial statements shall be prepared on the accrual method of accounting, including all receivables, accounts payable received by the 10th of the month. All financial statements and supporting schedules shall be review and approved by the Executive Director.

After approval by the Executive Director, a complete set of financial statements bi-monthly shall be prepared and distributed as follows:
1. Treasurer and Finance Committee Members
2. Executive Director
3. Board of Directors",Frequency of Preparation,6
"Annually insurance coverages need to be reviewed to ensure that Nonprofit Organization maintains adequate property, liability and employee insurance.

1) The Executive Director and the insurance broker shall review the insurance policy limits on property and contents based on current value and new capital purchases upon policy renewal.

2) The Executive Director will report to the insurance broker any purchase of equipment or property which could surpass the limits of current insurance coverage.

3) The Executive Director will meet with the insurance broker to discuss Director and Officer insurance and general liability insurance coverage a minimum of one time per year.

4) The Executive Director will prepare a status report on all insurance coverage levels and premium expenses a minimum of one time per year. This information will be presented to the Finance Committee of the Board of Directors.",Insurance Coverage,6
"5) Employee insurance coverages need to be reviewed annually. The Executive Director will work with the insurance broker to identify various insurance options to present to the Finance Committee.

6) The Executive Director will work insurance claims agent on Workmen’s Comp claim rates and classification of employees.",General,7
