Context,Keyword,Page_Number
"SAMPLE FINANCIAL MANAGEMENT POLICY AND PROCEDURES
(TRIBES/TDHE’S ADMINISTERING THE INDIAN HOUSING BLOCK GRANT)
May 3, 2016 DRAFT – Pending HUD Legal Counsel Review",General,1
"1. GENERAL PURPOSE .............................................................................................................. 3
2. FINANCIAL RESPONSIBILITIES ............................................................................................. 3
3. ACCOUNTING METHODS & STANDARDS ............................................................................ 3
4. REVENUE RECOGNITION ....................................................................................................... 4
5. EXPENSE RECOGNITION ....................................................................................................... 4
6. ACCOUNT RECORDS, IDENTIFICATION, AND SOURCE DOCUMENTS ............. 4
7. RECORDS AND INFORMATION MANAGEMENT ....................................................... 5
8. FINANCIAL REPORTS ............................................................................................................. 6
9. CASH MANAGEMENT POLICY ............................................................................................. 6
10. BUDGET ADMINISTRATION ................................................................................................. 7
11. PURCHASE OF GOODS AND SERVICES ......................................................................... 8
12. ALLOWABLE COSTS ............................................................................................................ 8
13. CAPITAL ASSETS ................................................................................................................... 9
14. AUDIT ...................................................................................................................................... 11
15. PETTY CASH ......................................................................................................................... 12
16. BANKING AND INVESTING SERVICES ........................................................................... 12
APPENDIX 1: EFFECTIVE INTERNAL CONTROLS AND ACCOUNTABILITY .......... 14
APPENDIX 2: PROCEDURES TO IMPLEMENT THE REQUIREMENTS OF 200.305 PAYMENT ................................................................................................................................. 21
APPENDIX 3: ALLOWABLE COSTS POLICY AND PROCEDURES TO IMPLEMENT THE REQUIREMENTS OF 200.302(B)(7) .......................................................................... 25

May 3, 2016 DRAFT – Pending HUD Legal Counsel Review",Table of Contents,2
"The purpose of the TRIBE/TDHE’s Financial Management and Internal Controls Policy is to establish guidelines for control of the administration and implementation of the TRIBE/TDHE’s funds in accordance with the TRIBE/TDHE’s goals and objectives; to properly safeguard the assets of the TRIBE/TDHE to make sound financial decisions, and have the ability to provide accurate financial reports.

TRIBE/TDHEs are non-federal entities administering federal programs, and are therefore required to account for and present their basic financial statements according to Generally Accepted Accounting Principles (GAAP) standards set by the Governmental Accounting Standards Board (GASB).

This Policy governs the financial management system of the TRIBE/TDHE and complies with the provisions of Title 2, Part 200 of the Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (“Uniform Grant Guidance”).",GENERAL PURPOSE,3
"This policy and any later changes shall be submitted to the [Tribal Council or Board of Commissioners] (“Board”) for approval. The Council/Board is responsible for ensuring that any policy to be adopted is appropriate for the TRIBE/TDHE.

The Council/Board appoints and delegates financial and budget authority to the Executive Director and the Finance Manager. The Finance Manager oversees the day-to-day financial management activities of the TRIBE/TDHE’s funds, ensuring the accuracy of the accounting records, internal controls are in place and adhered to, financial reports are prepared and communicated to the Executive Director timely.

The Finance Manager, is responsible for the preparation and maintenance of the accounting software’s chart of accounts, maintenance of the general ledger, reconciliation of subsidiary system accounts such as cash management, accounts payable, accounts receivable, job costing, payroll, journal entries, and responsibility of preparing required reports for compliance with the Internal Revenue Service (IRS), State and Federal grant reporting requirements.",FINANCIAL RESPONSIBILITIES,3
"Accounting methods employed by the TRIBE/TDHE shall, at a minimum, satisfy such requirements as may be prescribed by federal or state laws, regulations or guidelines. Additional accounting methods shall be employed to satisfy applicable government accounting standards promulgated by such competent authoritative",ACCOUNTING METHODS & STANDARDS,3
"May 3, 2016 DRAFT – Pending HUD Legal Counsel Review",General,3
"Revenue shall be recognized in the accounting period in which they are earned and measurable. The TRIBE/TDHE’s major revenue categories are:

- **Governmental Grants**: Federal, State, and Local: These revenue types are recognized in accordance with the legal and contractual requirements of the specific programs. Grant revenues are recognized based on expenditures recorded.
- **Unrestricted Donations and Contributions**: Revenues are recognized when received.
- **Rental Income**: Revenues are recognized when earned, based on monthly billings to residents.
- **Other Income**: Revenues are recognized as earned.
- **Interest and Dividend Income**: Revenues from interest and dividend income from cash and investments, and interest from mortgage loans issued to borrowers are recognized when earned.
- **Gain/Loss on sale of assets**: A gain or loss is recognized when an asset is sold or disposed of.",REVENUE RECOGNITION,4
"Expenses are generally recognized in the accounting period in which they are incurred, when measurable. Exceptions to this general rule include:

- **Prepaid Expenses**: Expenses are recognized as they are used or consumed.
- **Capital Assets**: Assets are recorded at historical costs and expensed through depreciation over the useful life of the assets.",EXPENSE RECOGNITION,4
"In the administration of federal, state and local government awards, the TRIBE/TDHE’s financial management system must be set up so that it can provide for the following:

The TRIBE/TDHE must maintain adequate accounting records that are supported by source documents which are the basis for the accounting transactions that are","ACCOUNT RECORDS, IDENTIFICATION, AND SOURCE DOCUMENTS",4
"entered into the TRIBE/TDHE’s accounting system. Examples include checks, invoices, copies of checks and receipts, timesheets, etc.

The TRIBE/TDHE must maintain records which adequately identify the source and application of funds provided. For example:

a. Federal Awards: All Federal awards received and expended by the TRIBE/TDHE must be properly identified and accounted for and must include, as applicable, the Catalog of Federal Domestic Assistance (CDFA) title and number, grant identification number and year, name of the federal agency, and the name of the pass-through entity, if any.

b. State and Local Awards: All State and Local awards received and expended by the TRIBE/TDHE must be properly identified and accounted for and must include, as applicable, the title and name of the grant award, the award number and the year, and the name of the pass-through entity, if any.

The TRIBE/TDHE must maintain source documents that adequately support the grant award, authorizations, obligations, unobligated balances, assets, expenditures, income and interest.",General,5
"The TRIBE/TDHE shall apply uniform rules for the TRIBE/TDHE’s records (including financial) and information which meet legal standards and best practices for effective records and information management for existing records and yet to be created records, and shall apply to all employees and contractors who generate information for the TRIBE/TDHE. The TRIBE/TDHE shall ensure:

- Control of all the TRIBE/TDHE’s information, regardless of media form;
- Records are retained in accordance with legal, business and federal, state, and local government program requirements;
- Records are maintained and stored in a manner that is secure and accessible through the retention period;
- Appropriate safeguards are in place against illegal access, removal, loss, or destruction of the TRIBE/TDHE’s records and information;
- Disposal of records and information is performed in accordance with an approved records retention schedule.

In addition to the TRIBE/TDHE’s general records and information retention policy, the TRIBE/TDHE shall also comply with the NAHASDA program requirements on records management in accordance with 1000.552, wherein:",7. RECORDS AND INFORMATION MANAGEMENT,5
"• Records must be retained for 3 years from the end of the tribal program year during which the expenditures occurred.

• If any litigation, claim, negotiation, audit or other action involving the records has been started before the expiration of the 3-year period, the records must be retained until completion of the action and resolution of all issues which arise from it, or until the end of the regular 3-year period, whichever is later.",General,6
"The TRIBE/TDHE must be able to produce accurate, current, and complete disclosure of the financial results of each of the financially assisted activities made in accordance with the financial reporting requirements of the grant or subgrant. The TRIBE/TDHE shall use the financial reports as tools to manage, control, ensure compliance, monitor, and inform the TRIBE/TDHE on its financial activities.

a. Reports to Grant Agencies: The TRIBE/TDHE shall complete and submit all reports to Federal, State, and local grant agencies in accordance with, and in the format and timelines required by the agency. The Finance Director shall oversee all administrative and financial reports, including the HUD Standard Form 425 (Quarterly Transaction Report), the IHP and the APR, before the due dates designated by HUD, as such forms and deadlines may change from time to time.

b. Management and Council/Board reports: The TRIBE/TDHE shall prepare and make available to management and the Council/Board on a monthly basis, financial reports to include:

• Statement of Net Position.
• Statement of Revenues, Expenses, and Changes in Net Position.
• Statement of Cash Flow.
• Budget to actual reports detailing significant variances of sources and uses of funds as a management tool.",FINANCIAL REPORTS,6
"The TRIBE/TDHE recognizes the importance of cash management to insure there are sufficient funds to pay for the expenses of operating the TRIBE/TDHE’s housing programs. The Finance Director shall be responsible for monitoring the daily cash flow and balances of all cash funds, including investments.

On a monthly basis, the Finance Director shall provide a report that shows the cash position from all sources that are accounted for in the cash accounts and investment accounts, along with bank and investment statements. The",CASH MANAGEMENT POLICY,6
